Date,Decision
2025-11-04,BUY
2025-11-05,SELL
2025-11-06,SELL
2025-11-07,SELL
2025-11-10,SELL
2025-11-11,SELL
2025-11-12,SELL
2025-11-13,SELL
2025-11-14,BUY
2025-11-17,SELL
2025-11-18,BUY
2025-11-19,BUY
2025-11-20,HOLD
2025-11-21,BUY
2025-11-24,SELL
2025-11-25,BUY
2025-11-26,HOLD
2025-11-28,SELL
2025-12-01,SELL
2025-12-02,BUY
2025-12-03,SELL
2025-12-04,BUY
2025-12-05,SELL
2025-12-08,SELL
2025-12-09,SELL
2025-12-10,SELL
2025-12-11,SELL
2025-12-12,HOLD
2025-12-15,SELL
2025-12-16,SELL
2025-12-17,SELL
2025-12-18,SELL
2025-12-19,BUY
2025-12-22,SELL
2025-12-23,BUY
2025-12-24,BUY
2025-12-26,BUY
2025-12-29,SELL
2025-12-30,BUY
2025-12-31,SELL
2026-01-02,BUY
2026-01-05,BUY
2026-01-06,SELL
2026-01-07,SELL
2026-01-08,SELL
2026-01-09,BUY
2026-01-12,SELL
2026-01-13,SELL
2026-01-14,SELL
2026-01-15,SELL
2026-01-16,SELL
2026-01-20,HOLD
2026-01-21,SELL
2026-01-22,SELL
2026-01-23,HOLD
2026-01-26,HOLD
2026-01-27,SELL
2026-01-28,HOLD
2026-01-29,SELL
2026-01-30,SELL
2026-02-02,SELL
2026-02-03,BUY
2026-02-04,SELL
2026-02-05,BUY
2026-02-06,SELL
2026-02-09,BUY
2026-02-10,SELL
2026-02-11,BUY
2026-02-12,SELL
2026-02-13,SELL
2026-02-17,SELL
2026-02-18,HOLD
2026-02-19,HOLD
2026-02-20,BUY
2026-02-23,HOLD
2026-02-24,SELL
