exec_id,symbol,datetime,action,quantity,price,commission,realized_pnl,currency
00025b45.69cb3da4.01.01,NVDA,2026-03-26T13:30:18+00:00,BOT,55.0,176.03,1.0,0.0,USD
00025b45.69cb4307.01.01,NEE,2026-03-26T13:30:19+00:00,BOT,9.0,91.14,1.0,0.0,USD
00025b45.69cb4308.01.01,NEE,2026-03-26T13:30:19+00:00,BOT,100.0,91.14,0.0,0.0,USD
00025b47.69c360bd.01.01,WMT,2026-03-25T13:30:04+00:00,SLD,81.0,123.02,1.015795,0.0,USD
00025b45.69c9574a.01.01,NVDA,2026-03-25T13:30:05+00:00,BOT,58.0,177.91,1.0,-109.3113,USD
00025b49.69c779b2.01.01,PLD,2026-03-25T13:30:07+00:00,SLD,76.0,130.41,1.01482,0.0,USD
00025b45.69c95887.01.01,JPM,2026-03-25T13:30:07+00:00,SLD,34.0,295.0,1.00663,0.0,USD
0000dc8f.6a05c8d0.01.01,TSLA,2026-03-25T13:30:08+00:00,BOT,25.0,391.38,1.0,194.7451,USD
00025b44.69c3dd33.01.01,CAT,2026-03-25T13:30:08+00:00,SLD,13.0,727.82,1.002535,0.0,USD
00025b45.69c959da.01.01,NEM,2026-03-25T13:30:11+00:00,BOT,103.0,103.63,1.0,-642.6801,USD
00025b45.69c95ab7.01.01,NEE,2026-03-25T13:30:14+00:00,BOT,12.0,92.58,1.0,-29.069479,USD
00025b45.69c95ab8.01.01,NEE,2026-03-25T13:30:14+00:00,BOT,100.0,92.58,0.0,-233.912321,USD
0000dc8f.6a05d027.01.01,LLY,2026-03-25T13:31:04+00:00,BOT,11.0,920.0,1.0,0.0,USD
0000dc8f.6a05de7e.01.01,XOM,2026-03-25T13:33:53+00:00,SLD,61.0,164.0,1.011895,0.0,USD
00025b44.69c6a8ea.01.01,CAT,2026-03-27T13:30:04+00:00,BOT,13.0,698.0,1.0,385.6575,USD
00025b45.69cd2c2e.01.01,NEM,2026-03-27T13:30:14+00:00,SLD,98.0,99.63,1.01911,35.22089,USD
00025b45.69cd2c47.01.01,JPM,2026-03-27T13:30:14+00:00,SLD,34.0,289.0,1.00663,0.0,USD
00025b45.69cd2d0e.01.01,NEE,2026-03-27T13:30:16+00:00,SLD,100.0,91.11,1.0195,-4.936931,USD
00025b45.69cd2e0c.01.01,NEE,2026-03-27T13:30:19+00:00,SLD,9.0,90.78,0.001755,-3.324324,USD
0000dc8f.6a0af11a.01.01,XOM,2026-03-27T13:33:37+00:00,BOT,61.0,165.67,1.0,-103.8819,USD
0000dc8f.6a0afae1.01.01,WMT,2026-03-27T13:35:58+00:00,BOT,81.0,123.05,1.0,-4.4458,USD
00025b45.69cd7944.01.01,JPM,2026-03-27T14:09:31+00:00,BOT,34.0,285.0,1.0,133.99337,USD
0000dc8f.6a0d5859.01.01,LLY,2026-03-27T19:41:28+00:00,SLD,11.0,879.54,1.002145,-447.062145,USD
